countyname,fips,learning_modality,state,abbreviation,year,student_count
Abbeville County,45001,Hybrid,South Carolina,SC,2022,11890
Abbeville County,45001,In Person,South Carolina,SC,2021,95710
Abbeville County,45001,In Person,South Carolina,SC,2022,180362
Acadia Parish,22001,In Person,Louisiana,LA,2021,77220
Acadia Parish,22001,In Person,Louisiana,LA,2022,154440
Ada County,16001,Hybrid,Idaho,ID,2021,213
Ada County,16001,Hybrid,Idaho,ID,2022,318
Ada County,16001,In Person,Idaho,ID,2021,378830
Ada County,16001,In Person,Idaho,ID,2022,755245
Ada County,16001,Remote,Idaho,ID,2021,5935
Ada County,16001,Remote,Idaho,ID,2022,1505
Adair County,19001,In Person,Iowa,IA,2021,31375
Adair County,19001,In Person,Iowa,IA,2022,60122
Adair County,21001,Hybrid,Kentucky,KY,2022,4674
Adair County,21001,In Person,Kentucky,KY,2021,29920
Adair County,21001,In Person,Kentucky,KY,2022,46877
Adair County,29001,Hybrid,Missouri,MO,2021,2559
Adair County,29001,In Person,Missouri,MO,2021,14971
Adair County,29001,In Person,Missouri,MO,2022,31597
Adair County,40001,Hybrid,Oklahoma,OK,2021,2266
Adair County,40001,Hybrid,Oklahoma,OK,2022,1344
Adair County,40001,In Person,Oklahoma,OK,2021,23621
Adair County,40001,In Person,Oklahoma,OK,2022,50781
Adams County,8001,Hybrid,Colorado,CO,2021,45317
Adams County,8001,Hybrid,Colorado,CO,2022,6610
Adams County,8001,In Person,Colorado,CO,2021,662005
Adams County,8001,In Person,Colorado,CO,2022,1301060
Adams County,8001,Remote,Colorado,CO,2022,6610
Adams County,16003,Hybrid,Idaho,ID,2022,1314
Adams County,16003,In Person,Idaho,ID,2021,7050
Adams County,16003,In Person,Idaho,ID,2022,14740
Adams County,17001,In Person,Illinois,IL,2021,50422
Adams County,17001,In Person,Illinois,IL,2022,101665
Adams County,18001,Hybrid,Indiana,IN,2022,1744
Adams County,18001,In Person,Indiana,IN,2021,34305
Adams County,18001,In Person,Indiana,IN,2022,60528
Adams County,19003,In Person,Iowa,IA,2021,13580
Adams County,19003,In Person,Iowa,IA,2022,27160
Adams County,28001,In Person,Mississippi,MS,2021,15520
Adams County,28001,In Person,Mississippi,MS,2022,21728
Adams County,31001,In Person,Nebraska,NE,2021,29905
Adams County,31001,In Person,Nebraska,NE,2022,53768
Adams County,38001,In Person,North Dakota,ND,2021,1465
Adams County,38001,In Person,North Dakota,ND,2022,3518
Adams County,39001,Hybrid,Ohio,OH,2021,3752
Adams County,39001,In Person,Ohio,OH,2021,28935
Adams County,39001,In Person,Ohio,OH,2022,57870
Adams County,42001,Hybrid,Pennsylvania,PA,2021,3325
Adams County,42001,In Person,Pennsylvania,PA,2021,117235
Adams County,42001,In Person,Pennsylvania,PA,2022,211519
Adams County,53001,Hybrid,Washington,WA,2021,9608
Adams County,53001,In Person,Washington,WA,2021,44797
Adams County,53001,In Person,Washington,WA,2022,85286
Adams County,55001,In Person,Wisconsin,WI,2021,58050
Adams County,55001,In Person,Wisconsin,WI,2022,109679
Addison County,50001,In Person,Vermont,VT,2021,27560
Addison County,50001,In Person,Vermont,VT,2022,52261
Aiken County,45003,Hybrid,South Carolina,SC,2021,24184
Aiken County,45003,Hybrid,South Carolina,SC,2022,5387
Aiken County,45003,In Person,South Carolina,SC,2021,152010
Aiken County,45003,In Person,South Carolina,SC,2022,304020
Aitkin County,27001,In Person,Minnesota,MN,2021,15590
Aitkin County,27001,In Person,Minnesota,MN,2022,31180
Alachua County,12001,In Person,Florida,FL,2021,148805
Alachua County,12001,In Person,Florida,FL,2022,297610
Alamance County,37001,In Person,North Carolina,NC,2021,123417
Alamance County,37001,In Person,North Carolina,NC,2022,249250
Alameda County,6001,Hybrid,California,CA,2022,65328
Alameda County,6001,In Person,California,CA,2021,1117895
Alameda County,6001,In Person,California,CA,2022,2229604
Alamosa County,8003,Hybrid,Colorado,CO,2022,606
Alamosa County,8003,In Person,Colorado,CO,2021,23555
Alamosa County,8003,In Person,Colorado,CO,2022,46255
Albany County,36001,Hybrid,New York,NY,2021,31026
Albany County,36001,Hybrid,New York,NY,2022,10302
Albany County,36001,In Person,New York,NY,2021,290874
Albany County,36001,In Person,New York,NY,2022,597538
Albany County,36001,Remote,New York,NY,2022,8904
Albany County,56001,In Person,Wyoming,WY,2021,25320
Albany County,56001,In Person,Wyoming,WY,2022,47649
Albemarle County,51003,In Person,Virginia,VA,2021,94730
Albemarle County,51003,In Person,Virginia,VA,2022,189460
Alcona County,26001,In Person,Michigan,MI,2021,5810
Alcona County,26001,In Person,Michigan,MI,2022,8134
Alcorn County,28003,In Person,Mississippi,MS,2021,29405
Alcorn County,28003,In Person,Mississippi,MS,2022,49201
Aleutians East Borough,2013,In Person,Alaska,AK,2021,1170
Aleutians East Borough,2013,In Person,Alaska,AK,2022,2340
Aleutians West Census Area,2016,In Person,Alaska,AK,2021,2385
Aleutians West Census Area,2016,In Person,Alaska,AK,2022,4575
Alexander County,17003,In Person,Illinois,IL,2021,3455
Alexander County,17003,In Person,Illinois,IL,2022,4837
Alexander County,37003,Hybrid,North Carolina,NC,2022,4826
Alexander County,37003,In Person,North Carolina,NC,2021,24130
Alexander County,37003,In Person,North Carolina,NC,2022,48260
Alexandria city,51510,Hybrid,Virginia,VA,2021,16295
Alexandria city,51510,In Person,Virginia,VA,2021,81475
Alexandria city,51510,In Person,Virginia,VA,2022,162950
Alfalfa County,40003,In Person,Oklahoma,OK,2021,8191
Alfalfa County,40003,In Person,Oklahoma,OK,2022,17150
Alger County,26003,In Person,Michigan,MI,2021,5878
Alger County,26003,In Person,Michigan,MI,2022,10086
Allamakee County,19005,In Person,Iowa,IA,2021,24260
Allamakee County,19005,In Person,Iowa,IA,2022,44062
Allegan County,26005,Hybrid,Michigan,MI,2021,18381
Allegan County,26005,Hybrid,Michigan,MI,2022,7892
Allegan County,26005,In Person,Michigan,MI,2021,256933
Allegan County,26005,In Person,Michigan,MI,2022,519833
Allegan County,26005,Remote,Michigan,MI,2021,5127
Allegany County,24001,In Person,Maryland,MD,2021,42185
Allegany County,24001,In Person,Maryland,MD,2022,84370
Allegany County,36003,Hybrid,New York,NY,2021,2101
Allegany County,36003,In Person,New York,NY,2021,58156
Allegany County,36003,In Person,New York,NY,2022,106717
Allegany County,36003,Remote,New York,NY,2021,1479
Alleghany County,37005,Hybrid,North Carolina,NC,2021,1452
Alleghany County,37005,In Person,North Carolina,NC,2021,7260
Alleghany County,37005,In Person,North Carolina,NC,2022,14520
Alleghany County,51005,Hybrid,Virginia,VA,2021,2024
Alleghany County,51005,In Person,Virginia,VA,2021,15210
Alleghany County,51005,In Person,Virginia,VA,2022,27366
Allegheny County,42003,Hybrid,Pennsylvania,PA,2021,71281
Allegheny County,42003,Hybrid,Pennsylvania,PA,2022,104103
Allegheny County,42003,In Person,Pennsylvania,PA,2021,782331
Allegheny County,42003,In Person,Pennsylvania,PA,2022,1516714
Allegheny County,42003,Remote,Pennsylvania,PA,2021,22665
Allegheny County,42003,Remote,Pennsylvania,PA,2022,3712
Allen County,18003,Hybrid,Indiana,IN,2021,1175
Allen County,18003,Hybrid,Indiana,IN,2022,39087
Allen County,18003,In Person,Indiana,IN,2021,320630
Allen County,18003,In Person,Indiana,IN,2022,625066
Allen County,18003,Remote,Indiana,IN,2021,1175
Allen County,20001,In Person,Kansas,KS,2021,22260
Allen County,20001,In Person,Kansas,KS,2022,44520
Allen County,21003,In Person,Kentucky,KY,2021,15860
Allen County,21003,In Person,Kentucky,KY,2022,22204
Allen County,39003,In Person,Ohio,OH,2021,105863
Allen County,39003,In Person,Ohio,OH,2022,190938
Allen Parish,22003,In Person,Louisiana,LA,2021,21025
Allen Parish,22003,In Person,Louisiana,LA,2022,42050
Allendale County,45005,In Person,South Carolina,SC,2021,5545
Allendale County,45005,In Person,South Carolina,SC,2022,11090
Alpena County,26007,In Person,Michigan,MI,2021,21400
Alpena County,26007,In Person,Michigan,MI,2022,40889
Alpine County,6003,In Person,California,CA,2021,350
Alpine County,6003,In Person,California,CA,2022,700
Amador County,6005,In Person,California,CA,2021,20830
Amador County,6005,In Person,California,CA,2022,41660
Amelia County,51007,In Person,Virginia,VA,2021,8645
Amelia County,51007,In Person,Virginia,VA,2022,17290
Amherst County,51009,Hybrid,Virginia,VA,2021,4115
Amherst County,51009,In Person,Virginia,VA,2021,20575
Amherst County,51009,In Person,Virginia,VA,2022,41150
Amherst County,51009,Remote,Virginia,VA,2021,4115
Amite County,28005,In Person,Mississippi,MS,2021,31495
Amite County,28005,In Person,Mississippi,MS,2022,52058
Anchorage Municipality,2020,In Person,Alaska,AK,2021,233410
Anchorage Municipality,2020,In Person,Alaska,AK,2022,466820
Anderson County,20003,Hybrid,Kansas,KS,2022,516
Anderson County,20003,In Person,Kansas,KS,2021,8790
Anderson County,20003,In Person,Kansas,KS,2022,17580
Anderson County,21005,Hybrid,Kentucky,KY,2021,6534
Anderson County,21005,Hybrid,Kentucky,KY,2022,6534
Anderson County,21005,In Person,Kentucky,KY,2021,56515
Anderson County,21005,In Person,Kentucky,KY,2022,110147
Anderson County,21005,Remote,Kentucky,KY,2021,6534
Anderson County,45007,In Person,South Carolina,SC,2021,162755
Anderson County,45007,In Person,South Carolina,SC,2022,305872
Anderson County,47001,Hybrid,Tennessee,TN,2021,6436
Anderson County,47001,In Person,Tennessee,TN,2021,60925
Anderson County,47001,In Person,Tennessee,TN,2022,85295
Anderson County,48001,Hybrid,Texas,TX,2021,786
Anderson County,48001,Hybrid,Texas,TX,2022,3905
Anderson County,48001,In Person,Texas,TX,2021,59400
Anderson County,48001,In Person,Texas,TX,2022,116442
Andrew County,29003,Hybrid,Missouri,MO,2022,144
Andrew County,29003,In Person,Missouri,MO,2021,16850
Andrew County,29003,In Person,Missouri,MO,2022,33148
Andrews County,48003,In Person,Texas,TX,2021,21795
Andrews County,48003,In Person,Texas,TX,2022,43590
Androscoggin County,23001,Hybrid,Maine,ME,2021,8637
Androscoggin County,23001,Hybrid,Maine,ME,2022,5449
Androscoggin County,23001,In Person,Maine,ME,2021,75540
Androscoggin County,23001,In Person,Maine,ME,2022,157134
Androscoggin County,23001,Remote,Maine,ME,2021,1425
Angelina County,48005,Hybrid,Texas,TX,2021,321
Angelina County,48005,In Person,Texas,TX,2021,85305
Angelina County,48005,In Person,Texas,TX,2022,167487
Anne Arundel County,24003,Hybrid,Maryland,MD,2022,84984
Anne Arundel County,24003,In Person,Maryland,MD,2021,424920
Anne Arundel County,24003,In Person,Maryland,MD,2022,849840
Anoka County,27003,Hybrid,Minnesota,MN,2021,9307
Anoka County,27003,Hybrid,Minnesota,MN,2022,6566
Anoka County,27003,In Person,Minnesota,MN,2021,545730
Anoka County,27003,In Person,Minnesota,MN,2022,1081782
Anoka County,27003,Remote,Minnesota,MN,2021,6024
Anson County,37007,In Person,North Carolina,NC,2021,15735
Anson County,37007,In Person,North Carolina,NC,2022,31470
Antelope County,31003,In Person,Nebraska,NE,2021,7033
Antelope County,31003,In Person,Nebraska,NE,2022,16010
Antrim County,26009,Hybrid,Michigan,MI,2021,1715
Antrim County,26009,In Person,Michigan,MI,2021,29665
Antrim County,26009,In Person,Michigan,MI,2022,57693
Antrim County,26009,Remote,Michigan,MI,2021,110
Apache County,4001,Hybrid,Arizona,AZ,2022,6547
Apache County,4001,In Person,Arizona,AZ,2021,65005
Apache County,4001,In Person,Arizona,AZ,2022,128532
Apache County,4001,Remote,Arizona,AZ,2022,5378
Appanoose County,19007,In Person,Iowa,IA,2021,11120
Appanoose County,19007,In Person,Iowa,IA,2022,21487
Appling County,13001,Hybrid,Georgia,GA,2021,3084
Appling County,13001,In Person,Georgia,GA,2021,33255
Appling County,13001,In Person,Georgia,GA,2022,55809
Appling County,13001,Remote,Georgia,GA,2021,3084
Appomattox County,51011,Hybrid,Virginia,VA,2021,16394
Appomattox County,51011,Hybrid,Virginia,VA,2022,8197
Appomattox County,51011,In Person,Virginia,VA,2021,44183
Appomattox County,51011,In Person,Virginia,VA,2022,80169
Aransas County,48007,In Person,Texas,TX,2021,22930
Aransas County,48007,In Person,Texas,TX,2022,45860
Arapahoe County,8005,In Person,Colorado,CO,2021,576300
Arapahoe County,8005,In Person,Colorado,CO,2022,1148160
Archer County,48009,In Person,Texas,TX,2021,15130
Archer County,48009,In Person,Texas,TX,2022,28751
Archuleta County,8007,Hybrid,Colorado,CO,2021,1363
Archuleta County,8007,Hybrid,Colorado,CO,2022,1363
Archuleta County,8007,In Person,Colorado,CO,2021,19150
Archuleta County,8007,In Person,Colorado,CO,2022,36125
Arenac County,26011,In Person,Michigan,MI,2021,21915
Arenac County,26011,In Person,Michigan,MI,2022,39033
Arkansas County,5001,In Person,Arkansas,AR,2021,6125
Arkansas County,5001,In Person,Arkansas,AR,2022,12250
Arlington County,51013,In Person,Virginia,VA,2021,153995
Arlington County,51013,In Person,Virginia,VA,2022,307990
Armstrong County,42005,Hybrid,Pennsylvania,PA,2021,9930
Armstrong County,42005,Hybrid,Pennsylvania,PA,2022,6854
Armstrong County,42005,In Person,Pennsylvania,PA,2021,73850
Armstrong County,42005,In Person,Pennsylvania,PA,2022,142033
Armstrong County,48011,In Person,Texas,TX,2021,2675
Armstrong County,48011,In Person,Texas,TX,2022,5206
Aroostook County,23003,Hybrid,Maine,ME,2021,3278
Aroostook County,23003,In Person,Maine,ME,2021,36738
Aroostook County,23003,In Person,Maine,ME,2022,62476
Arthur County,31005,In Person,Nebraska,NE,2021,514
Arthur County,31005,In Person,Nebraska,NE,2022,2168
Ascension Parish,22005,In Person,Louisiana,LA,2021,116795
Ascension Parish,22005,In Person,Louisiana,LA,2022,232711
Ashe County,37009,In Person,North Carolina,NC,2021,15025
Ashe County,37009,In Person,North Carolina,NC,2022,21035
Ashland County,39005,Hybrid,Ohio,OH,2021,5395
Ashland County,39005,Hybrid,Ohio,OH,2022,7679
Ashland County,39005,In Person,Ohio,OH,2021,52025
Ashland County,39005,In Person,Ohio,OH,2022,100003
Ashland County,55003,Hybrid,Wisconsin,WI,2021,283
Ashland County,55003,In Person,Wisconsin,WI,2021,12785
Ashland County,55003,In Person,Wisconsin,WI,2022,25570
Ashland County,55003,Remote,Wisconsin,WI,2021,283
Ashley County,5003,Hybrid,Arkansas,AR,2022,1836
Ashley County,5003,In Person,Arkansas,AR,2021,23833
Ashley County,5003,In Person,Arkansas,AR,2022,46664
Ashtabula County,39007,Hybrid,Ohio,OH,2021,3000
Ashtabula County,39007,Hybrid,Ohio,OH,2022,3365
Ashtabula County,39007,In Person,Ohio,OH,2021,87025
Ashtabula County,39007,In Person,Ohio,OH,2022,169046
Ashtabula County,39007,Remote,Ohio,OH,2022,5119
Asotin County,53003,Hybrid,Washington,WA,2021,5422
Asotin County,53003,In Person,Washington,WA,2021,16685
Asotin County,53003,In Person,Washington,WA,2022,33370
Assumption Parish,22007,In Person,Louisiana,LA,2021,205605
Assumption Parish,22007,In Person,Louisiana,LA,2022,411210
Atascosa County,48013,In Person,Texas,TX,2021,88475
Atascosa County,48013,In Person,Texas,TX,2022,176950
Atchison County,20005,In Person,Kansas,KS,2021,23670
Atchison County,20005,In Person,Kansas,KS,2022,47340
Atchison County,29005,In Person,Missouri,MO,2021,4235
Atchison County,29005,In Person,Missouri,MO,2022,8470
Athens County,39009,Hybrid,Ohio,OH,2021,2526
Athens County,39009,Hybrid,Ohio,OH,2022,1001
Athens County,39009,In Person,Ohio,OH,2021,34485
Athens County,39009,In Person,Ohio,OH,2022,65484
Athens County,39009,Remote,Ohio,OH,2021,2526
Atkinson County,13003,In Person,Georgia,GA,2021,8535
Atkinson County,13003,In Person,Georgia,GA,2022,17070
Atlantic County,34001,Hybrid,New Jersey,NJ,2022,20252
Atlantic County,34001,In Person,New Jersey,NJ,2021,271657
Atlantic County,34001,In Person,New Jersey,NJ,2022,534510
Atlantic County,34001,Remote,New Jersey,NJ,2022,9499
Atoka County,40005,Hybrid,Oklahoma,OK,2021,503
Atoka County,40005,Hybrid,Oklahoma,OK,2022,469
Atoka County,40005,In Person,Oklahoma,OK,2021,15813
Atoka County,40005,In Person,Oklahoma,OK,2022,30987
Atoka County,40005,Remote,Oklahoma,OK,2021,235
Attala County,28007,In Person,Mississippi,MS,2021,21397
Attala County,28007,In Person,Mississippi,MS,2022,57992
Audrain County,29007,In Person,Missouri,MO,2021,25745
Audrain County,29007,In Person,Missouri,MO,2022,43501
Audubon County,19009,In Person,Iowa,IA,2021,23085
Audubon County,19009,In Person,Iowa,IA,2022,46170
Auglaize County,39011,In Person,Ohio,OH,2021,79110
Auglaize County,39011,In Person,Ohio,OH,2022,150030
Augusta County,51015,In Person,Virginia,VA,2021,66500
Augusta County,51015,In Person,Virginia,VA,2022,112259
Aurora County,46003,In Person,South Dakota,SD,2021,6987
Aurora County,46003,In Person,South Dakota,SD,2022,14304
Austin County,48015,In Person,Texas,TX,2021,56180
Austin County,48015,In Person,Texas,TX,2022,97303
Autauga County,1001,Hybrid,Alabama,AL,2022,9120
Autauga County,1001,In Person,Alabama,AL,2021,45600
Autauga County,1001,In Person,Alabama,AL,2022,91200
Avery County,37011,In Person,North Carolina,NC,2021,10345
Avery County,37011,In Person,North Carolina,NC,2022,20690
Avoyelles Parish,22009,In Person,Louisiana,LA,2021,24881
Avoyelles Parish,22009,In Person,Louisiana,LA,2022,59870
Baca County,8009,In Person,Colorado,CO,2021,23780
Baca County,8009,In Person,Colorado,CO,2022,40216
Bacon County,13005,In Person,Georgia,GA,2021,10550
Bacon County,13005,In Person,Georgia,GA,2022,21100
Bailey County,48017,In Person,Texas,TX,2021,1403
Bailey County,48017,In Person,Texas,TX,2022,14030
Baker County,12003,In Person,Florida,FL,2021,25235
Baker County,12003,In Person,Florida,FL,2022,35329
Baker County,41001,In Person,Oregon,OR,2021,1979
Baker County,41001,In Person,Oregon,OR,2022,30449
Baldwin County,1003,Hybrid,Alabama,AL,2022,2221
Baldwin County,1003,In Person,Alabama,AL,2021,153010
Baldwin County,1003,In Person,Alabama,AL,2022,306020
Baldwin County,13009,In Person,Georgia,GA,2021,44470
Baldwin County,13009,In Person,Georgia,GA,2022,73859
Ballard County,21007,In Person,Kentucky,KY,2021,5945
Ballard County,21007,In Person,Kentucky,KY,2022,8323
Baltimore County,24005,Hybrid,Maryland,MD,2021,115038
Baltimore County,24005,Hybrid,Maryland,MD,2022,115038
Baltimore County,24005,In Person,Maryland,MD,2021,575190
Baltimore County,24005,In Person,Maryland,MD,2022,1150380
Baltimore city,24510,Hybrid,Maryland,MD,2021,79187
Baltimore city,24510,Hybrid,Maryland,MD,2022,79187
Baltimore city,24510,In Person,Maryland,MD,2021,316748
Baltimore city,24510,In Person,Maryland,MD,2022,791870
Bamberg County,45009,In Person,South Carolina,SC,2021,11358
Bamberg County,45009,In Person,South Carolina,SC,2022,21454
Bamberg County,45009,Remote,South Carolina,SC,2022,1926
Bandera County,48019,Hybrid,Texas,TX,2021,315
Bandera County,48019,In Person,Texas,TX,2021,13030
Bandera County,48019,In Person,Texas,TX,2022,25115
Bandera County,48019,Remote,Texas,TX,2021,315
Banks County,13011,In Person,Georgia,GA,2021,60185
Banks County,13011,In Person,Georgia,GA,2022,108418
Banner County,31007,In Person,Nebraska,NE,2021,650
Banner County,31007,In Person,Nebraska,NE,2022,1300
Bannock County,16005,Hybrid,Idaho,ID,2021,90
Bannock County,16005,In Person,Idaho,ID,2021,67578
Bannock County,16005,In Person,Idaho,ID,2022,136576
Baraga County,26013,In Person,Michigan,MI,2021,2368
Baraga County,26013,In Person,Michigan,MI,2022,4274
Barber County,20007,In Person,Kansas,KS,2021,3775
Barber County,20007,In Person,Kansas,KS,2022,7550
Barbour County,1005,In Person,Alabama,AL,2021,28500
Barbour County,1005,In Person,Alabama,AL,2022,46227
Barbour County,54001,Hybrid,West Virginia,WV,2021,2266
Barbour County,54001,In Person,West Virginia,WV,2021,11330
Barbour County,54001,In Person,West Virginia,WV,2022,15862
Barnes County,38003,In Person,North Dakota,ND,2021,8705
Barnes County,38003,In Person,North Dakota,ND,2022,16204
Barnstable County,25001,In Person,Massachusetts,MA,2021,151641
Barnstable County,25001,In Person,Massachusetts,MA,2022,306192
Barnwell County,45011,In Person,South Carolina,SC,2021,7145
Barnwell County,45011,In Person,South Carolina,SC,2022,18871
Barren County,21009,Hybrid,Kentucky,KY,2022,5406
Barren County,21009,In Person,Kentucky,KY,2021,30550
Barren County,21009,In Person,Kentucky,KY,2022,58988
Barron County,55005,In Person,Wisconsin,WI,2021,40984
Barron County,55005,In Person,Wisconsin,WI,2022,83762
Barrow County,13013,In Person,Georgia,GA,2021,142400
Barrow County,13013,In Person,Georgia,GA,2022,284800
Barry County,26015,Hybrid,Michigan,MI,2021,12077
Barry County,26015,Hybrid,Michigan,MI,2022,7892
Barry County,26015,In Person,Michigan,MI,2021,130750
Barry County,26015,In Person,Michigan,MI,2022,245366
Barry County,26015,Remote,Michigan,MI,2022,3821
Barry County,29009,Hybrid,Missouri,MO,2022,2100
Barry County,29009,In Person,Missouri,MO,2021,32281
Barry County,29009,In Person,Missouri,MO,2022,65387
Bartholomew County,18005,Hybrid,Indiana,IN,2022,859
Bartholomew County,18005,In Person,Indiana,IN,2021,101920
Bartholomew County,18005,In Person,Indiana,IN,2022,203840
Barton County,20009,In Person,Kansas,KS,2021,22232
Barton County,20009,In Person,Kansas,KS,2022,45055
Barton County,29011,Hybrid,Missouri,MO,2022,195
Barton County,29011,In Person,Missouri,MO,2021,12385
Barton County,29011,In Person,Missouri,MO,2022,19337
Bartow County,13015,Hybrid,Georgia,GA,2022,15991
Bartow County,13015,In Person,Georgia,GA,2021,161073
Bartow County,13015,In Person,Georgia,GA,2022,326817
Bastrop County,48021,Hybrid,Texas,TX,2022,10968
Bastrop County,48021,In Person,Texas,TX,2021,198640
Bastrop County,48021,In Person,Texas,TX,2022,383561
Bates County,29013,Hybrid,Missouri,MO,2022,1262
Bates County,29013,In Person,Missouri,MO,2021,15026
Bates County,29013,In Person,Missouri,MO,2022,25013
Bath County,21011,Hybrid,Kentucky,KY,2021,6762
Bath County,21011,In Person,Kentucky,KY,2021,39430
Bath County,21011,In Person,Kentucky,KY,2022,75488
Bath County,51017,Hybrid,Virginia,VA,2021,529
Bath County,51017,In Person,Virginia,VA,2021,2645
Bath County,51017,In Person,Virginia,VA,2022,5290
Bath County,51017,Remote,Virginia,VA,2021,529
Baxter County,5005,Hybrid,Arkansas,AR,2021,1855
Baxter County,5005,Hybrid,Arkansas,AR,2022,4734
Baxter County,5005,In Person,Arkansas,AR,2021,26080
Baxter County,5005,In Person,Arkansas,AR,2022,50891
Bay County,12005,Hybrid,Florida,FL,2021,26999
Bay County,12005,In Person,Florida,FL,2021,133105
Bay County,12005,In Person,Florida,FL,2022,264320
Bay County,26017,Hybrid,Michigan,MI,2022,7271
Bay County,26017,In Person,Michigan,MI,2021,103025
Bay County,26017,In Person,Michigan,MI,2022,198061
Bayfield County,55007,In Person,Wisconsin,WI,2021,19505
Bayfield County,55007,In Person,Wisconsin,WI,2022,37426
Baylor County,48023,In Person,Texas,TX,2021,1737
Baylor County,48023,In Person,Texas,TX,2022,4053
Beadle County,46005,In Person,South Dakota,SD,2021,18735
Beadle County,46005,In Person,South Dakota,SD,2022,37470
Bear Lake County,16007,In Person,Idaho,ID,2021,9413
Bear Lake County,16007,In Person,Idaho,ID,2022,18335
Beaufort County,37013,Hybrid,North Carolina,NC,2022,6467
Beaufort County,37013,In Person,North Carolina,NC,2021,34350
Beaufort County,37013,In Person,North Carolina,NC,2022,67491
Beaufort County,45013,Hybrid,South Carolina,SC,2021,22405
Beaufort County,45013,In Person,South Carolina,SC,2021,112025
Beaufort County,45013,In Person,South Carolina,SC,2022,224050
Beauregard Parish,22011,In Person,Louisiana,LA,2021,29330
Beauregard Parish,22011,In Person,Louisiana,LA,2022,58660
Beaver County,40007,In Person,Oklahoma,OK,2021,5140
Beaver County,40007,In Person,Oklahoma,OK,2022,8495
Beaver County,42007,Hybrid,Pennsylvania,PA,2021,4429
Beaver County,42007,Hybrid,Pennsylvania,PA,2022,2390
Beaver County,42007,In Person,Pennsylvania,PA,2021,150378
Beaver County,42007,In Person,Pennsylvania,PA,2022,309357
Beaver County,49001,In Person,Utah,UT,2021,7800
Beaver County,49001,In Person,Utah,UT,2022,10920
Beaverhead County,30001,In Person,Montana,MT,2021,5775
Beaverhead County,30001,In Person,Montana,MT,2022,11532
Becker County,27005,In Person,Minnesota,MN,2021,36945
Becker County,27005,In Person,Minnesota,MN,2022,76602
Beckham County,40009,In Person,Oklahoma,OK,2021,19655
Beckham County,40009,In Person,Oklahoma,OK,2022,39310
Bedford County,42009,In Person,Pennsylvania,PA,2021,40020
Bedford County,42009,In Person,Pennsylvania,PA,2022,85052
Bedford County,47003,In Person,Tennessee,TN,2021,116970
Bedford County,47003,In Person,Tennessee,TN,2022,211206
Bedford County,51019,Hybrid,Virginia,VA,2021,9555
Bedford County,51019,In Person,Virginia,VA,2021,47775
Bedford County,51019,In Person,Virginia,VA,2022,66885
Bedford city,51515,Hybrid,Virginia,VA,2021,9555
Bedford city,51515,In Person,Virginia,VA,2021,47775
Bedford city,51515,In Person,Virginia,VA,2022,66885
Bee County,48025,Hybrid,Texas,TX,2022,3253
Bee County,48025,In Person,Texas,TX,2021,41735
Bee County,48025,In Person,Texas,TX,2022,77014
Belknap County,33001,In Person,New Hampshire,NH,2021,40970
Belknap County,33001,In Person,New Hampshire,NH,2022,70396
Bell County,21013,Hybrid,Kentucky,KY,2022,616
Bell County,21013,In Person,Kentucky,KY,2021,22445
Bell County,21013,In Person,Kentucky,KY,2022,44890
Bell County,48027,Hybrid,Texas,TX,2022,7019
Bell County,48027,In Person,Texas,TX,2021,405115
Bell County,48027,In Person,Texas,TX,2022,794675
Belmont County,39013,In Person,Ohio,OH,2021,48724
Belmont County,39013,In Person,Ohio,OH,2022,96600
Beltrami County,27007,Hybrid,Minnesota,MN,2022,6819
Beltrami County,27007,In Person,Minnesota,MN,2021,40702
Beltrami County,27007,In Person,Minnesota,MN,2022,88970
Beltrami County,27007,Remote,Minnesota,MN,2021,3058
Ben Hill County,13017,Hybrid,Georgia,GA,2021,3065
Ben Hill County,13017,In Person,Georgia,GA,2021,15325
Ben Hill County,13017,In Person,Georgia,GA,2022,30650
Ben Hill County,13017,Remote,Georgia,GA,2021,3065
Benewah County,16009,Hybrid,Idaho,ID,2021,974
Benewah County,16009,In Person,Idaho,ID,2021,6770
Benewah County,16009,In Person,Idaho,ID,2022,9478
Benewah County,16009,Remote,Idaho,ID,2021,1948
Bennett County,46007,In Person,South Dakota,SD,2021,4005
Bennett County,46007,In Person,South Dakota,SD,2022,14916
Bennett County,46007,Remote,South Dakota,SD,2021,2670
Bennington County,50003,In Person,Vermont,VT,2021,28340
Bennington County,50003,In Person,Vermont,VT,2022,46769
Benson County,38005,In Person,North Dakota,ND,2021,17320
Benson County,38005,In Person,North Dakota,ND,2022,36180
Bent County,8011,Hybrid,Colorado,CO,2021,1422
Bent County,8011,Hybrid,Colorado,CO,2022,1422
Bent County,8011,In Person,Colorado,CO,2021,29415
Bent County,8011,In Person,Colorado,CO,2022,50925
Benton County,5007,Hybrid,Arkansas,AR,2022,22030
Benton County,5007,In Person,Arkansas,AR,2021,347217
Benton County,5007,In Person,Arkansas,AR,2022,698332
Benton County,18007,Hybrid,Indiana,IN,2021,730
Benton County,18007,Hybrid,Indiana,IN,2022,1731
Benton County,18007,In Person,Indiana,IN,2021,12305
Benton County,18007,In Person,Indiana,IN,2022,22420
Benton County,19011,Hybrid,Iowa,IA,2022,2708
Benton County,19011,In Person,Iowa,IA,2021,63112
Benton County,19011,In Person,Iowa,IA,2022,125706
